source,target,relationship
Aetobatus ocellatus,Kure,foundOn
Aetobatus ocellatus,French Frigate,foundOn
Aetobatus ocellatus,Hawaii,foundOn
Aetobatus ocellatus,Maui,foundOn
Aetobatus ocellatus,Oahu,foundOn
Aetobatus ocellatus,Lanai,foundOn
Aetobatus ocellatus,Hawaii,foundOn
Aetobatus ocellatus,Molokai,foundOn
Aetobatus ocellatus,Niihau,foundOn
Aetobatus ocellatus,Laysan,foundOn
Aetobatus ocellatus,Oahu,foundOn
Aetobatus ocellatus,Oahu,foundOn
Aetobatus ocellatus,Laysan,foundOn
Aetobatus ocellatus,Lisianski,foundOn
Aetobatus ocellatus,Lanai,foundOn
Aetobatus ocellatus,Maui,foundOn
Aetobatus ocellatus,Maui,foundOn
Aetobatus ocellatus,Molokai,foundOn
Aetobatus ocellatus,French Frigate,foundOn
Aetobatus ocellatus,Molokai,foundOn
Aetobatus ocellatus,Lanai,foundOn
Aetobatus ocellatus,Lanai,foundOn
Aetobatus ocellatus,Lanai,foundOn
Aetobatus ocellatus,Pearl & Hermes,foundOn
Aetobatus ocellatus,Maro,foundOn
Alopias superciliosus,Hawaii,foundOn
Anas wyvilliana,Kauai,foundOn
Balistes capriscus,Dauphin Island,foundOn
Bathytoshia lata,Oahu,foundOn
Brachyramphus marmoratus,Adak,foundOn
Brachyramphus marmoratus,Shuyak,foundOn
Callorhinus ursinus,Whitcomb Island,foundOn
Carcharhinus acronotus,Dauphin Island,foundOn
Carcharhinus amblyrhynchos,Necker,foundOn
Carcharhinus amblyrhynchos,French Frigate,foundOn
Carcharhinus amblyrhynchos,Niihau,foundOn
Carcharhinus amblyrhynchos,Necker,foundOn
Carcharhinus amblyrhynchos,Necker,foundOn
Carcharhinus amblyrhynchos,French Frigate,foundOn
Carcharhinus amblyrhynchos,Kure,foundOn
Carcharhinus amblyrhynchos,Necker,foundOn
Carcharhinus amblyrhynchos,French Frigate,foundOn
Carcharhinus amblyrhynchos,Lanai,foundOn
Carcharhinus amblyrhynchos,Niihau,foundOn
Carcharhinus amblyrhynchos,Niihau,foundOn
Carcharhinus amblyrhynchos,Niihau,foundOn
Carcharhinus amblyrhynchos,French Frigate,foundOn
Carcharhinus amblyrhynchos,Kahoolawe,foundOn
Carcharhinus amblyrhynchos,Kure,foundOn
Carcharhinus amblyrhynchos,Lisianski,foundOn
Carcharhinus amblyrhynchos,Necker,foundOn
Carcharhinus amblyrhynchos,Kahoolawe,foundOn
Carcharhinus amblyrhynchos,French Frigate,foundOn
Carcharhinus amblyrhynchos,Pearl & Hermes,foundOn
Carcharhinus amblyrhynchos,Niihau,foundOn
Carcharhinus amblyrhynchos,Midway,foundOn
Carcharhinus amblyrhynchos,Midway,foundOn
Carcharhinus amblyrhynchos,Niihau,foundOn
Carcharhinus amblyrhynchos,French Frigate,foundOn
Carcharhinus amblyrhynchos,Kahoolawe,foundOn
Carcharhinus amblyrhynchos,Midway,foundOn
Carcharhinus amblyrhynchos,Necker,foundOn
Carcharhinus amblyrhynchos,French Frigate,foundOn
Carcharhinus amblyrhynchos,French Frigate,foundOn
Carcharhinus amblyrhynchos,Midway,foundOn
Carcharhinus amblyrhynchos,French Frigate,foundOn
Carcharhinus amblyrhynchos,Midway,foundOn
Carcharhinus amblyrhynchos,Hawaii,foundOn
Carcharhinus amblyrhynchos,Niihau,foundOn
Carcharhinus amblyrhynchos,Niihau,foundOn
Carcharhinus amblyrhynchos,French Frigate,foundOn
Carcharhinus amblyrhynchos,French Frigate,foundOn
Carcharhinus amblyrhynchos,Kahoolawe,foundOn
Carcharhinus amblyrhynchos,Kure,foundOn
Carcharhinus amblyrhynchos,Kure,foundOn
Carcharhinus amblyrhynchos,Pearl & Hermes,foundOn
Carcharhinus amblyrhynchos,French Frigate,foundOn
