source,target,relationship
Acanthomyops latipes,Arizona,locatedIn
Acinonyx jubatus,New Mexico,locatedIn
Acinonyx jubatus,Ohio,locatedIn
Acipenser brevirostrum,Massachusetts,locatedIn
Acipenser brevirostrum,New Jersey,locatedIn
Acipenser brevirostrum,Connecticut,locatedIn
Acipenser brevirostrum,South Carolina,locatedIn
Acipenser fulvescens,New York,locatedIn
Acipenser fulvescens,Ohio,locatedIn
Acipenser fulvescens,,locatedIn
Acipenser fulvescens,Georgia,locatedIn
Acipenser fulvescens,Arkansas,locatedIn
Acipenser fulvescens,Michigan,locatedIn
Acipenser fulvescens,Mississippi,locatedIn
Acipenser fulvescens,Nebraska,locatedIn
Acipenser fulvescens,Wisconsin,locatedIn
Acipenser fulvescens,Minnesota,locatedIn
Acipenser medirostris,Oregon,locatedIn
Acipenser medirostris,California,locatedIn
Acipenser medirostris,Alabama,locatedIn
Acipenser medirostris,,locatedIn
Acipenser oxyrinchus,Florida,locatedIn
Acipenser oxyrinchus,,locatedIn
Acipenser oxyrinchus,Pennsylvania,locatedIn
Acipenser transmontanus,Idaho,locatedIn
Acipenser transmontanus,Alabama,locatedIn
Acipenser transmontanus,Ohio,locatedIn
Acipenser transmontanus,California,locatedIn
Acipenser transmontanus,Oregon,locatedIn
Acrocodia indica,Washington,locatedIn
Acropora cervicornis,,locatedIn
Acropora palmata,,locatedIn
Actinemys marmorata,California,locatedIn
Actinemys marmorata,,locatedIn
Addax nasomaculatus,Texas,locatedIn
Aetobatus narinari,,locatedIn
Aetobatus ocellatus,,locatedIn
Agapornis nigrigenis,California,locatedIn
Agaricia lamarcki,,locatedIn
Agelaius tricolor,California,locatedIn
Agelaius tricolor,Washington,locatedIn
Agelaius tricolor,Arizona,locatedIn
Ailurus fulgens,New Mexico,locatedIn
Ailurus fulgens,Washington,locatedIn
Ailurus fulgens,California,locatedIn
Alasmidonta atropurpurea,Kentucky,locatedIn
Alasmidonta atropurpurea,Tennessee,locatedIn
Alasmidonta triangulata,Alabama,locatedIn
Alasmidonta varicosa,North Carolina,locatedIn
Alligator sinensis,Texas,locatedIn
Alopias pelagicus,,locatedIn
Alopias superciliosus,,locatedIn
Alopias vulpinus,,locatedIn
Alosa aestivalis,South Carolina,locatedIn
Alosa aestivalis,Texas,locatedIn
Alosa aestivalis,Pennsylvania,locatedIn
Alosa aestivalis,Georgia,locatedIn
Alosa aestivalis,Florida,locatedIn
Alosa aestivalis,Maine,locatedIn
Alosa aestivalis,Connecticut,locatedIn
Alosa aestivalis,New York,locatedIn
Alosa aestivalis,New Jersey,locatedIn
Alosa aestivalis,North Carolina,locatedIn
Alosa aestivalis,,locatedIn
Alosa aestivalis,Alabama,locatedIn
Alosa aestivalis,Vermont,locatedIn
Alosa aestivalis,Tennessee,locatedIn
Alosa aestivalis,Virginia,locatedIn
Amazona finschi,Texas,locatedIn
Amazona finschi,California,locatedIn
Amazona finschi,Arizona,locatedIn
Amazona oratrix,California,locatedIn
Amazona oratrix,Utah,locatedIn
Amazona oratrix,Texas,locatedIn
Amazona viridigenalis,Texas,locatedIn
Amazona viridigenalis,California,locatedIn
Amblema neislerii,Florida,locatedIn
Amblema neislerii,Alabama,locatedIn
Amblonyx cinereus,Texas,locatedIn
Amblyraja radiata,,locatedIn
Ambystoma bishopi,Florida,locatedIn
Ambystoma californiense,California,locatedIn
Ambystoma cingulatum,South Carolina,locatedIn
Ambystoma cingulatum,Florida,locatedIn
Ammocrypta clara,Louisiana,locatedIn
Ammocrypta clara,Iowa,locatedIn
Ammocrypta clara,Wisconsin,locatedIn
Ammocrypta clara,Texas,locatedIn
Ammocrypta clara,West Virginia,locatedIn
Ammocrypta clara,Missouri,locatedIn
Ammospermophilus nelsoni,California,locatedIn
Ammospiza caudacuta,Virginia,locatedIn
Ammospiza caudacuta,,locatedIn
Ammospiza caudacuta,Maine,locatedIn
Ammotragus lervia,Texas,locatedIn
Ammotragus lervia,New Mexico,locatedIn
Anas laysanensis,,locatedIn
Anas wyvilliana,Hawaii,locatedIn
Anaxyrus californicus,California,locatedIn
Anaxyrus canorus,California,locatedIn
Anaxyrus houstonensis,Texas,locatedIn
Anaxyrus nelsoni,Nevada,locatedIn
Anergates atratulus,Ohio,locatedIn
Anguilla rostrata,South Carolina,locatedIn
Anguilla rostrata,Florida,locatedIn
Anguilla rostrata,Illinois,locatedIn
Anguilla rostrata,Louisiana,locatedIn
Anguilla rostrata,Alabama,locatedIn
Anguilla rostrata,Ohio,locatedIn
Anguilla rostrata,Pennsylvania,locatedIn
Anguilla rostrata,New Jersey,locatedIn
Anguilla rostrata,Maryland,locatedIn
Anguilla rostrata,Georgia,locatedIn
Anguilla rostrata,Virginia,locatedIn
Anguilla rostrata,Texas,locatedIn
Anguilla rostrata,Massachusetts,locatedIn
Anguilla rostrata,Mississippi,locatedIn
Anguilla rostrata,North Carolina,locatedIn
Anguilla rostrata,Maine,locatedIn
Anguilla rostrata,Delaware,locatedIn
Anguilla rostrata,,locatedIn
Anguilla rostrata,Vermont,locatedIn
Anguilla rostrata,Arizona,locatedIn
Anguilla rostrata,New York,locatedIn
Anodonta californiensis,Utah,locatedIn
Anodonta californiensis,California,locatedIn
Anodonta californiensis,Idaho,locatedIn
Anodonta nuttalliana,Utah,locatedIn
Anodonta nuttalliana,California,locatedIn
Anodorhynchus hyacinthinus,New Mexico,locatedIn
Anodorhynchus hyacinthinus,Louisiana,locatedIn
Anser cygnoides,California,locatedIn
Anser erythropus,,locatedIn
Anthropoides paradiseus,Wisconsin,locatedIn
Anthus spragueii,Texas,locatedIn
Anthus spragueii,Colorado,locatedIn
Anthus spragueii,North Dakota,locatedIn
Anthus spragueii,California,locatedIn
Aotus nancymai,Washington,locatedIn
Aphelocoma coerulescens,Colorado,locatedIn
Aphelocoma coerulescens,Texas,locatedIn
