source,target,relationship
Acanthomyops latipes,VU,hasIUCNStatus
Acinonyx jubatus,VU,hasIUCNStatus
Acipenser brevirostrum,VU,hasIUCNStatus
Acipenser fulvescens,EN,hasIUCNStatus
Acipenser medirostris,EN,hasIUCNStatus
Acipenser oxyrinchus,VU,hasIUCNStatus
Acipenser transmontanus,VU,hasIUCNStatus
Acrocodia indica,EN,hasIUCNStatus
Acropora cervicornis,CR,hasIUCNStatus
Acropora palmata,CR,hasIUCNStatus
Actinemys marmorata,VU,hasIUCNStatus
Addax nasomaculatus,CR,hasIUCNStatus
Aetobatus narinari,EN,hasIUCNStatus
Aetobatus ocellatus,VU,hasIUCNStatus
Agapornis nigrigenis,VU,hasIUCNStatus
Agaricia lamarcki,VU,hasIUCNStatus
Agelaius tricolor,EN,hasIUCNStatus
Ailurus fulgens,EN,hasIUCNStatus
Alasmidonta atropurpurea,EN,hasIUCNStatus
Alasmidonta triangulata,EN,hasIUCNStatus
Alasmidonta varicosa,VU,hasIUCNStatus
Alligator sinensis,CR,hasIUCNStatus
Alopias pelagicus,EN,hasIUCNStatus
Alopias superciliosus,VU,hasIUCNStatus
Alopias vulpinus,VU,hasIUCNStatus
Alosa aestivalis,VU,hasIUCNStatus
Amazona finschi,EN,hasIUCNStatus
Amazona oratrix,EN,hasIUCNStatus
Amazona viridigenalis,EN,hasIUCNStatus
Amblema neislerii,CR,hasIUCNStatus
Amblonyx cinereus,VU,hasIUCNStatus
Amblyraja radiata,VU,hasIUCNStatus
Ambystoma bishopi,VU,hasIUCNStatus
Ambystoma californiense,VU,hasIUCNStatus
Ambystoma cingulatum,VU,hasIUCNStatus
Ammocrypta clara,VU,hasIUCNStatus
Ammospermophilus nelsoni,EN,hasIUCNStatus
Ammospiza caudacuta,EN,hasIUCNStatus
Ammotragus lervia,VU,hasIUCNStatus
Anas laysanensis,CR,hasIUCNStatus
Anas wyvilliana,EN,hasIUCNStatus
Anaxyrus californicus,EN,hasIUCNStatus
Anaxyrus canorus,EN,hasIUCNStatus
Anaxyrus houstonensis,EN,hasIUCNStatus
Anaxyrus nelsoni,EN,hasIUCNStatus
Anergates atratulus,VU,hasIUCNStatus
Anguilla rostrata,EN,hasIUCNStatus
Anodonta californiensis,VU,hasIUCNStatus
Anodonta nuttalliana,VU,hasIUCNStatus
Anodorhynchus hyacinthinus,VU,hasIUCNStatus
Anser cygnoides,VU,hasIUCNStatus
Anser erythropus,VU,hasIUCNStatus
Anthropoides paradiseus,VU,hasIUCNStatus
Anthus spragueii,VU,hasIUCNStatus
Aotus nancymai,VU,hasIUCNStatus
Aphelocoma coerulescens,VU,hasIUCNStatus
Apostichopus parvimensis,VU,hasIUCNStatus
Apteryx australis,VU,hasIUCNStatus
Ara glaucogularis,CR,hasIUCNStatus
Ara militaris,VU,hasIUCNStatus
Aratinga solstitialis,EN,hasIUCNStatus
Archoplites interruptus,EN,hasIUCNStatus
Arctictis binturong,VU,hasIUCNStatus
Asarcornis scutulata,EN,hasIUCNStatus
Ateles belzebuth,EN,hasIUCNStatus
Atelopus flavescens,VU,hasIUCNStatus
Athearnia anthonyi,VU,hasIUCNStatus
Atrytone arogos,EN,hasIUCNStatus
Aythya ferina,VU,hasIUCNStatus
Babyrousa babyrussa,VU,hasIUCNStatus
Babyrousa celebensis,VU,hasIUCNStatus
Balaeniceps rex,VU,hasIUCNStatus
Balaenoptera musculus,EN,hasIUCNStatus
Balaenoptera physalus,VU,hasIUCNStatus
Balearica pavonina,VU,hasIUCNStatus
Balearica regulorum,EN,hasIUCNStatus
Balistes capriscus,VU,hasIUCNStatus
Bathytoshia centroura,VU,hasIUCNStatus
Bathytoshia lata,VU,hasIUCNStatus
Batrachoseps campi,EN,hasIUCNStatus
Batrachoseps regius,VU,hasIUCNStatus
Batrachoseps simatus,VU,hasIUCNStatus
Batrachoseps stebbinsi,VU,hasIUCNStatus
Batrachoseps wrighti,VU,hasIUCNStatus
Bombus affinis,CR,hasIUCNStatus
Bombus californicus,VU,hasIUCNStatus
Bombus caliginosus,VU,hasIUCNStatus
Bombus crotchii,EN,hasIUCNStatus
Bombus fervidus,VU,hasIUCNStatus
Bombus fraternus,EN,hasIUCNStatus
Bombus mckayi,VU,hasIUCNStatus
Bombus morrisoni,VU,hasIUCNStatus
Bombus occidentalis,VU,hasIUCNStatus
Bombus pensylvanicus,VU,hasIUCNStatus
Bombus sonorus,VU,hasIUCNStatus
Bombus suckleyi,CR,hasIUCNStatus
Bombus terricola,VU,hasIUCNStatus
Bombus variabilis,CR,hasIUCNStatus
Bos javanicus,EN,hasIUCNStatus
Brachyramphus marmoratus,EN,hasIUCNStatus
Branchinecta conservatio,EN,hasIUCNStatus
Branchinecta longiantenna,EN,hasIUCNStatus
Branchinecta lynchi,VU,hasIUCNStatus
Branchinecta sandiegonensis,EN,hasIUCNStatus
Branta ruficollis,VU,hasIUCNStatus
Bubalus depressicornis,EN,hasIUCNStatus
Bubo scandiacus,VU,hasIUCNStatus
Buceros rhinoceros,VU,hasIUCNStatus
Bucorvus leadbeateri,VU,hasIUCNStatus
Budorcas taxicolor,VU,hasIUCNStatus
Bugeranus carunculatus,VU,hasIUCNStatus
Cacatua alba,EN,hasIUCNStatus
Calathaemon holthuisi,EN,hasIUCNStatus
Calcarius ornatus,VU,hasIUCNStatus
Calidris acuminata,VU,hasIUCNStatus
Callocephalon fimbriatum,VU,hasIUCNStatus
Callorhinus ursinus,VU,hasIUCNStatus
Cambarus cracens,EN,hasIUCNStatus
Cambarus harti,EN,hasIUCNStatus
Cambarus jonesi,VU,hasIUCNStatus
Cambarus speleocoopi,EN,hasIUCNStatus
Camelus bactrianus,CR,hasIUCNStatus
Campeloma decampi,VU,hasIUCNStatus
Canis lupus,CR,hasIUCNStatus
Capra nubiana,VU,hasIUCNStatus
Carcharhinus acronotus,EN,hasIUCNStatus
Carcharhinus amblyrhynchos,EN,hasIUCNStatus
Carcharhinus brevipinna,VU,hasIUCNStatus
Carcharhinus leucas,VU,hasIUCNStatus
Carcharhinus limbatus,VU,hasIUCNStatus
Carcharhinus longimanus,CR,hasIUCNStatus
Carcharhinus melanopterus,VU,hasIUCNStatus
Carcharhinus obscurus,EN,hasIUCNStatus
Carcharhinus perezii,EN,hasIUCNStatus
Carcharhinus plumbeus,EN,hasIUCNStatus
Carcharhinus signatus,EN,hasIUCNStatus
Carcharias taurus,CR,hasIUCNStatus
Carcharodon carcharias,VU,hasIUCNStatus
Caretta caretta,VU,hasIUCNStatus
Carettochelys insculpta,EN,hasIUCNStatus
Catagonus wagneri,EN,hasIUCNStatus
Catharus bicknelli,VU,hasIUCNStatus
Catostomus santaanae,EN,hasIUCNStatus
Catostomus warnerensis,EN,hasIUCNStatus
Cebuella pygmaea,VU,hasIUCNStatus
Centrocercus minimus,EN,hasIUCNStatus
Centrochelys sulcata,EN,hasIUCNStatus
Centrophorus granulosus,EN,hasIUCNStatus
Centrophorus tessellatus,EN,hasIUCNStatus
Centroscymnus owstonii,VU,hasIUCNStatus
Cetorhinus maximus,EN,hasIUCNStatus
Chaetura andrei,VU,hasIUCNStatus
Chaetura pelagica,VU,hasIUCNStatus
Charina umbratica,VU,hasIUCNStatus
Chasiempis ibidis,EN,hasIUCNStatus
Chasiempis sandwichensis,VU,hasIUCNStatus
Chasiempis sclateri,VU,hasIUCNStatus
Chasmistes brevirostris,EN,hasIUCNStatus
Chelonia mydas,EN,hasIUCNStatus
Chinchilla lanigera,EN,hasIUCNStatus
Chrosomus saylori,EN,hasIUCNStatus
Chrosomus tennesseensis,VU,hasIUCNStatus
Clangula hyemalis,VU,hasIUCNStatus
Clemmys guttata,EN,hasIUCNStatus
Clidoderma asperrimum,VU,hasIUCNStatus
Colobus angolensis,VU,hasIUCNStatus
Conasprella stearnsii,VU,hasIUCNStatus
Conus floridanus,VU,hasIUCNStatus
Conus scalaris,VU,hasIUCNStatus
Coregonus hoyi,VU,hasIUCNStatus
Coregonus kiyi,VU,hasIUCNStatus
Coregonus zenithicus,VU,hasIUCNStatus
Correlophus ciliatus,VU,hasIUCNStatus
Coryphopterus eidolon,VU,hasIUCNStatus
Coryphopterus lipernes,VU,hasIUCNStatus
Coryphopterus personatus,VU,hasIUCNStatus
Cosmocampus balli,VU,hasIUCNStatus
Cottus extensus,VU,hasIUCNStatus
Cottus paulus,CR,hasIUCNStatus
Cottus tenuis,VU,hasIUCNStatus
Crangonyx grandimanus,VU,hasIUCNStatus
Crangonyx hobbsi,VU,hasIUCNStatus
Crax alberti,CR,hasIUCNStatus
Crematogaster pilosa,VU,hasIUCNStatus
Crenichthys baileyi,EN,hasIUCNStatus
Crocodylus acutus,VU,hasIUCNStatus
Crotaphytus reticulatus,VU,hasIUCNStatus
Cryptoprocta ferox,VU,hasIUCNStatus
Crystallaria asprella,VU,hasIUCNStatus
Ctenomys sociabilis,CR,hasIUCNStatus
Cumberlandia monodonta,EN,hasIUCNStatus
Cuora amboinensis,EN,hasIUCNStatus
Cuora flavomarginata,EN,hasIUCNStatus
Cuora galbinifrons,CR,hasIUCNStatus
Cynomys parvidens,EN,hasIUCNStatus
Cynoscion regalis,EN,hasIUCNStatus
Cyprinella caerulea,EN,hasIUCNStatus
Cyprinella lepida,EN,hasIUCNStatus
Cyprinella monacha,VU,hasIUCNStatus
Cyprinodon elegans,EN,hasIUCNStatus
Cyprinodon eremus,EN,hasIUCNStatus
Cyprinodon macularius,VU,hasIUCNStatus
Cyprinodon nevadensis,VU,hasIUCNStatus
Cyprinodon pecosensis,VU,hasIUCNStatus
Cyprinodon salinus,EN,hasIUCNStatus
Cyprinodon tularosa,EN,hasIUCNStatus
Cyprinus carpio,VU,hasIUCNStatus
Cyprogenia stegaria,CR,hasIUCNStatus
Cypseloides niger,VU,hasIUCNStatus
Danaus plexippus,EN,hasIUCNStatus
Deltistes luxatus,EN,hasIUCNStatus
Dendrogyra cylindrus,VU,hasIUCNStatus
Dendrolagus matschiei,EN,hasIUCNStatus
Dermochelys coriacea,VU,hasIUCNStatus
Dicerorhinus sumatrensis,CR,hasIUCNStatus
Diceros bicornis,CR,hasIUCNStatus
Dichocoenia stokesii,VU,hasIUCNStatus
Dionda diaboli,EN,hasIUCNStatus
Dipodomys ingens,EN,hasIUCNStatus
Dipodomys nitratoides,VU,hasIUCNStatus
Dipodomys stephensi,VU,hasIUCNStatus
Dorymyrmex insanus,VU,hasIUCNStatus
Dromus dromas,CR,hasIUCNStatus
Elaphrus viridis,CR,hasIUCNStatus
Elassoma alabamae,CR,hasIUCNStatus
Elassoma boehlkei,VU,hasIUCNStatus
Elassoma okatie,VU,hasIUCNStatus
Elephas maximus,EN,hasIUCNStatus
Elgaria panamintina,VU,hasIUCNStatus
Elimia ampla,CR,hasIUCNStatus
Elimia annettae,CR,hasIUCNStatus
Elimia bellacrenata,CR,hasIUCNStatus
Elimia bellula,EN,hasIUCNStatus
Elimia hydeii,VU,hasIUCNStatus
Elimia olivula,VU,hasIUCNStatus
Ellipsoptera puritana,EN,hasIUCNStatus
Elliptio roanokensis,VU,hasIUCNStatus
Elliptoideus sloatianus,VU,hasIUCNStatus
Emberiza rustica,VU,hasIUCNStatus
Emys blandingii,EN,hasIUCNStatus
Enhydra lutris,EN,hasIUCNStatus
Entosphenus minimus,VU,hasIUCNStatus
Epinephelus itajara,VU,hasIUCNStatus
Epinephelus morio,VU,hasIUCNStatus
Epinephelus striatus,CR,hasIUCNStatus
Epioblasma brevidens,CR,hasIUCNStatus
Epioblasma capsaeformis,EN,hasIUCNStatus
Epioblasma penita,CR,hasIUCNStatus
Epioblasma triquetra,EN,hasIUCNStatus
Epioblasma walkeri,CR,hasIUCNStatus
Equus hartmannae,VU,hasIUCNStatus
Eremarionta immaculata,VU,hasIUCNStatus
Eremichthys acros,VU,hasIUCNStatus
Etheostoma acuticeps,VU,hasIUCNStatus
Etheostoma akatulo,EN,hasIUCNStatus
Etheostoma bellator,VU,hasIUCNStatus
Etheostoma boschungi,EN,hasIUCNStatus
Etheostoma brevirostrum,VU,hasIUCNStatus
Etheostoma chermocki,CR,hasIUCNStatus
Etheostoma chienense,EN,hasIUCNStatus
Etheostoma cinereum,VU,hasIUCNStatus
Etheostoma denoncourti,VU,hasIUCNStatus
Etheostoma ditrema,EN,hasIUCNStatus
Etheostoma etowahae,VU,hasIUCNStatus
Etheostoma fonticola,EN,hasIUCNStatus
Etheostoma forbesi,VU,hasIUCNStatus
Etheostoma grahami,VU,hasIUCNStatus
Etheostoma lemniscatum,VU,hasIUCNStatus
Etheostoma maculatum,VU,hasIUCNStatus
Etheostoma moorei,EN,hasIUCNStatus
Etheostoma nuchale,EN,hasIUCNStatus
Etheostoma pallididorsum,VU,hasIUCNStatus
Etheostoma perlongum,VU,hasIUCNStatus
Etheostoma phytophilum,EN,hasIUCNStatus
Etheostoma pseudovulatum,VU,hasIUCNStatus
Etheostoma rubrum,EN,hasIUCNStatus
Etheostoma scotti,EN,hasIUCNStatus
Etheostoma striatulum,VU,hasIUCNStatus
Etheostoma susanae,EN,hasIUCNStatus
Etheostoma tecumsehi,EN,hasIUCNStatus
Etheostoma trisella,VU,hasIUCNStatus
Etheostoma tuscumbia,VU,hasIUCNStatus
Etheostoma wapiti,VU,hasIUCNStatus
Eubalaena glacialis,CR,hasIUCNStatus
Eulemur flavifrons,CR,hasIUCNStatus
Eulemur macaco,EN,hasIUCNStatus
Euphagus carolinus,VU,hasIUCNStatus
Eurycea junaluska,VU,hasIUCNStatus
Eurycea naufragia,EN,hasIUCNStatus
Eurycea neotenes,VU,hasIUCNStatus
Eurycea rathbuni,VU,hasIUCNStatus
Felis nigripes,VU,hasIUCNStatus
Fratercula arctica,VU,hasIUCNStatus
Fulica alai,VU,hasIUCNStatus
Fundulus euryzonus,VU,hasIUCNStatus
Fundulus jenkinsi,VU,hasIUCNStatus
Fusconaia cor,CR,hasIUCNStatus
Fusconaia cuneolus,EN,hasIUCNStatus
Fusconaia escambia,EN,hasIUCNStatus
Fusconaia masoni,EN,hasIUCNStatus
Fusconaia subrotunda,VU,hasIUCNStatus
Gadus morhua,VU,hasIUCNStatus
Galeorhinus galeus,CR,hasIUCNStatus
Gallirallus owstoni,CR,hasIUCNStatus
Gambelia sila,EN,hasIUCNStatus
Gambusia clarkhubbsi,VU,hasIUCNStatus
Gambusia gaigei,VU,hasIUCNStatus
Gambusia nobilis,EN,hasIUCNStatus
Gammarus pecos,VU,hasIUCNStatus
Geronticus eremita,EN,hasIUCNStatus
Gila cypha,EN,hasIUCNStatus
Gila elegans,CR,hasIUCNStatus
Gila intermedia,EN,hasIUCNStatus
Gila nigrescens,VU,hasIUCNStatus
Gila orcuttii,VU,hasIUCNStatus
Gila robusta,VU,hasIUCNStatus
Ginglymostoma cirratum,VU,hasIUCNStatus
Giraffa camelopardalis,VU,hasIUCNStatus
Giraffa reticulata,EN,hasIUCNStatus
Glyptemys insculpta,EN,hasIUCNStatus
Glyptemys muhlenbergii,CR,hasIUCNStatus
Gonidea angulata,VU,hasIUCNStatus
Gonidea coalingensis,VU,hasIUCNStatus
Gopherus agassizii,CR,hasIUCNStatus
Gopherus polyphemus,VU,hasIUCNStatus
Gorilla gorilla,CR,hasIUCNStatus
Graptemys barbouri,VU,hasIUCNStatus
Graptemys caglei,EN,hasIUCNStatus
Graptemys oculifera,VU,hasIUCNStatus
Grus americana,EN,hasIUCNStatus
Grus japonensis,VU,hasIUCNStatus
Grus leucogeranus,CR,hasIUCNStatus
Grus vipio,VU,hasIUCNStatus
Gymnogyps californianus,CR,hasIUCNStatus
Gymnorhinus cyanocephalus,VU,hasIUCNStatus
Gymnura altavela,EN,hasIUCNStatus
